id,song_name,class,label,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
1,30 seconds to Mars - Night of the Hunter.mp3,relax,3,117.4538352,139925,1283.715596,0.422269364,0.293325614,0.086039916,0.527779494,0.263042667,0.069191445,0.261495642,0.117303546,0.013760122,8.27174432,42.23890769,1784.125323,-0.669535765,36.23852434,1313.230646,0.012002837,2.737308806,7.492859498,4.831246853,2.73298049,7.469182968,2749.820569,982.5022573,965310.6856,2500.560413,584.3546489,341470.3556,18.90063587,8.135854586,66.19212985,5676.132344,1775.02147,3150701.22,2.694325741,3.498507562,12.23955516,0.001847167,0.055645316,0.003096401,0.145777463,0.088269907,0.007791576,1.36E-06,0.131658405,0.017333934,0.000141969,0.095362484,0.009094004,4.221387755,1.601395952,2.564468994
2,Absolutely - Story of A Girl.mp3,sad,1,129.1992188,159877,1268.865079,0.425320782,0.289704251,0.083928553,0.488411633,0.275777219,0.076053074,0.259517351,0.126428153,0.015984078,10.80452964,52.99969193,2808.967345,2.324514489,23.12582986,534.8040068,0.012688937,2.348498004,5.515442877,6.097115994,1.973801136,3.895890951,3355.923318,825.28016,681087.3424,2839.385726,282.88856,80025.93736,20.00986003,6.837942054,46.75745153,6770.39656,1060.310894,1124259.193,3.068247328,3.49566783,12.21969358,0.007194285,0.071367416,0.005093308,0.174273512,0.092381368,0.008534317,-3.00E-06,0.169203728,0.028629901,5.56E-06,0.099144682,0.009829667,3.24614966,1.885734819,3.555995808
3,Ace - Futureland.mp3,happy,2,99.38401442,121594,1253.546392,0.487376803,0.268670374,0.07218377,0.44053569,0.303527672,0.092129048,0.238127465,0.163182854,0.026628644,16.9294511,91.41765116,8357.186944,7.213594738,25.7773076,664.4695872,0.00664681,1.732102757,3.00017996,7.45171833,2.472208023,6.111813068,2884.310298,1000.080209,1000160.423,2778.911699,549.9270779,302419.791,18.09058591,6.242264389,38.9658647,6208.412459,2138.990993,4575282.467,3.751397711,4.212932682,17.74880178,-0.019074338,0.083522546,0.006976016,0.136353862,0.078736655,0.006199461,1.87E-05,0.206915513,0.042814031,-7.70E-05,0.115424842,0.013322894,3.989188209,1.766115307,3.119163277
4,Alan Walker - Faded.mp3,sad,1,89.10290948,113611,1291.034091,0.292934478,0.29569479,0.087435409,0.406712844,0.288187825,0.083052223,0.226562938,0.178892617,0.032002568,9.843200113,75.09972899,5639.969295,2.453629006,45.42074375,2063.043963,0.005337784,2.206856993,4.870217787,5.226909637,2.562407494,6.565932274,1927.612816,1035.043044,1071314.103,2174.151882,835.8544316,698652.6308,21.74016032,5.647970149,31.8995668,4051.608834,2482.790129,6164246.825,2.098193939,2.550848768,6.506829439,-0.002768046,0.092026768,0.008468926,0.084333957,0.049829604,0.002482989,-2.03E-05,0.184177279,0.033921268,-3.26E-06,0.055471476,0.003077085,3.423782313,1.922332842,3.695363555
5,Alan Walker - Force [Instrumental].mp3,relax,3,198.7680288,252770,1404.277778,0.286669482,0.300048682,0.090029212,0.37287328,0.290104642,0.084160703,0.217227015,0.190120375,0.036145757,5.886977146,72.02582901,5187.720045,-0.764524421,45.97753844,2113.934041,0.009725682,2.007709816,4.030898707,3.845882177,2.61906004,6.859476089,2545.374828,1062.659044,1129244.244,2371.939368,908.3368211,825075.7805,21.94492058,6.550948614,42.91492774,5321.330323,2555.896372,6532606.266,1.512831214,1.997955863,3.99182763,-0.006246197,0.091778097,0.008423219,0.117507415,0.054558505,0.00297663,1.40E-05,0.147810981,0.021848086,0.000306882,0.048204396,0.002323664,9.637442177,7.344525154,53.94204973
6,All American Rejects - Stab my back.mp3,angry,4,135.9991776,173919,1288.288889,0.402927771,0.293648941,0.086229701,0.511188687,0.267794641,0.07171397,0.261786125,0.121660832,0.014801358,16.47518906,86.45292344,7474.107971,6.878092703,23.32246751,543.9374908,0.005724838,2.711800544,7.353862193,7.291646957,2.602593184,6.773491859,2794.75673,680.0011967,462401.6275,2697.979678,303.4514805,92082.80102,19.93235094,6.390375704,40.83690164,5915.443397,1193.495011,1424430.34,3.739061441,4.257751352,18.12844658,0.009007424,0.059399822,0.003528339,0.132281324,0.057834691,0.003344851,-2.44E-06,0.196422249,0.038581699,-0.000103147,0.135027885,0.018232528,2.917587302,1.705446393,2.908547399
7,Apparat - You Dont Know Me.mp3,relax,3,161.4990234,204713,1271.509317,0.291769794,0.303724422,0.092248524,0.439677776,0.283746334,0.080511982,0.237816404,0.163635849,0.026776691,6.974083403,66.83671905,4467.147014,-3.754776661,48.89451485,2390.673583,0.012782354,1.440528756,2.075123096,4.111234188,2.577727079,6.644677162,1722.14567,375.4770208,140982.9932,2280.988092,408.1874201,166616.9699,23.76722385,8.232435012,67.77298623,3775.777168,1272.897506,1620268.061,1.534552304,2.227213372,4.960479402,0.007724619,0.076847818,0.005905587,0.062141537,0.025718884,0.000661461,-1.92E-05,0.157182351,0.024706293,-1.63E-05,0.039745864,0.001579734,1.37229932,0.69298631,0.480230026
8,B.O.B - Soo Good.mp3,happy,2,86.1328125,108756,1279.482353,0.421205622,0.294016598,0.08644576,0.507742092,0.279095371,0.077894226,0.254880185,0.13553385,0.018369425,20.03077151,147.5136999,21760.29165,4.95562076,29.67170653,880.4101682,0.013385615,2.746273852,7.542020071,7.625406742,3.578936338,12.80878448,2708.439843,953.862517,909853.7014,2623.42318,734.9657335,540174.6295,19.42979135,6.589739629,43.42466838,5880.66444,2082.871221,4338352.525,3.594682842,4.352430408,18.94365045,-0.00407983,0.070444611,0.004962443,0.11792748,0.063363736,0.004014963,-2.28E-06,0.199292004,0.039717302,-0.00010311,0.165504798,0.027391838,5.263963719,2.912277593,8.481360778
9,Billy Talent - Fallen Leaves.mp3,happy,2,123.046875,106506,1054.514851,0.408958424,0.289546437,0.083837139,0.522171574,0.279307258,0.078012544,0.259815229,0.125814864,0.01582938,13.57571267,81.45232998,6634.482058,4.532875529,26.8421505,720.5010435,0.010696634,2.909786962,8.466860165,6.407421589,2.945688963,8.677083015,2862.122038,629.6575466,396468.626,2583.918199,409.17947,167427.8387,19.68229392,7.402166278,54.7920656,5834.710552,1155.844456,1335976.406,3.299955133,3.889061712,15.124801,0.016530577,0.066490072,0.00442093,0.146345676,0.058125786,0.003378607,-1.90E-05,0.177508309,0.031509198,-0.000155616,0.122583307,0.015026667,2.402104308,1.407299272,1.980491241
10,Billy Talent - Red Flag.mp3,happy,2,92.28515625,102169,1201.988235,0.472775697,0.291974877,0.085249329,0.575409757,0.277486308,0.076998651,0.266335384,0.111349883,0.012398796,16.15352587,109.9906259,12097.93778,6.342557104,22.41891883,502.6079216,0.010971336,2.849928707,8.122093634,7.119541168,2.820424318,7.95479393,3066.501669,790.8160532,625390.03,2778.984692,298.3711979,89025.37171,18.74509054,6.857769624,47.02900422,6338.161674,1135.978382,1290446.884,3.510186788,4.073010511,16.58941462,0.005264146,0.06428996,0.004133199,0.158338045,0.079177701,0.006269108,9.09E-06,0.163210422,0.02663764,0.000865846,0.161110818,0.025956694,1.733369615,1.053179817,1.109187727
